Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION
Ride_59.csv,64.9816,63.2402,1.7414,320.0,3.607,0:12:46
Ride_6.csv,83.8458,81.1152,2.7306,480.0,4.567,0:19:58
Ride_60.csv,37.5747,36.6128,0.9619,240.0,4.327,0:05:35
Ride_61.csv,78.8609,77.4497,1.4112,240.0,5.252,0:14:53
Ride_62.csv,77.305,69.7445,7.5605,1680.0,4.937,0:14:19
Ride_63.csv,69.6825,54.696,14.9865,3280.0,11.55,0:39:15
Ride_64.csv,54.6856,46.5467,8.1389,1840.0,12.381,0:39:34
Ride_65.csv,78.7884,79.8607,-1.0723,-240.0,1.787,0:03:36
Ride_66.csv,79.6457,72.9181,6.7276,1440.0,2.523,0:06:38
Ride_67.csv,61.3742,60.5856,0.7886,80.0,9289.326,0:17:10
Ride_68.csv,60.4864,54.0696,6.4168,1280.0,9288.328,0:09:11
Ride_69.csv,53.115,51.0773,2.0377,480.0,3.399,0:12:19
Ride_7.csv,97.2499,97.1021,0.1478,80.0,0.301,0:08:41
Ride_70.csv,78.7285,58.9757,19.7528,4320.0,9310.204,1:30:32
Ride_71.csv,57.7865,52.8005,4.986,1040.0,3.781,0:15:48
Ride_72.csv,52.0253,51.0709,0.9544,240.0,3.238,0:05:59
Ride_73.csv,45.3709,41.1263,4.2446,960.0,3.594,0:10:17
Ride_74.csv,40.8984,36.1737,4.7247,880.0,5.578,0:13:02
Ride_75.csv,36.039,32.5808,3.4582,720.0,4.985,0:10:18
Ride_76.csv,78.1539,76.3275,1.8264,320.0,3.059,0:04:03
Ride_77.csv,66.2049,65.2064,0.9985,160.0,3.879,0:20:04
Ride_78.csv,65.0406,58.0028,7.0378,1520.0,5.925,0:24:01
Ride_79.csv,47.7136,44.3973,3.3163,720.0,5.95,0:26:40
Ride_8.csv,97.0312,97.041,-0.0098,0.0,0.0,0:00:51
Ride_80.csv,44.1481,39.9476,4.2005,960.0,2.969,0:15:05
Ride_81.csv,53.8416,47.0831,6.7585,1520.0,3.884,0:15:15
Ride_82.csv,47.0136,46.4033,0.6103,0.0,3.973,0:13:52
Ride_83.csv,63.7551,61.9854,1.7697,400.0,3.536,0:08:44
Ride_84.csv,78.8177,78.8145,0.0032,0.0,0.463,0:01:22
Ride_85.csv,79.1075,76.8951,2.2124,480.0,1.362,0:10:55
Ride_86.csv,76.7715,76.0279,0.7436,80.0,0.651,0:02:38
Ride_87.csv,56.875,57.6665,-0.7915,-160.0,3.876,0:25:40
Ride_88.csv,57.5467,56.8264,0.7203,80.0,0.684,0:04:17
Ride_89.csv,56.6035,56.2919,0.3116,0.0,0.665,0:02:23
Ride_9.csv,43.9472,43.9819,-0.0347,0.0,0.0,0:00:06
Ride_90.csv,48.2857,47.7152,0.5705,80.0,4.719,0:11:36
Ride_91.csv,47.5603,45.2417,2.3186,400.0,2.263,0:27:47
Ride_92.csv,37.8456,37.3409,0.5047,0.0,4.664,0:10:56
Ride_93.csv,70.3487,69.5264,0.8223,160.0,0.628,0:02:31
Ride_94.csv,69.323,68.6083,0.7147,80.0,0.551,0:03:47
Ride_95.csv,68.472,67.7828,0.6892,80.0,2.294,0:04:17
Ride_96.csv,58.6573,58.2622,0.3951,80.0,4.602,0:09:20
Ride_97.csv,57.9767,54.4498,3.5269,720.0,7.565,0:24:24
Ride_98.csv,51.1707,44.6191,6.5516,1440.0,14.048,0:30:24
Ride_99.csv,52.1131,53.2124,-1.0993,-320.0,3.843,0:09:40
